Shot,Category,I_AUROC,I_AUPR,I_F1max,P_AUROC,P_AUPR,P_F1max
0-shot,bagel,93.4,98.4,92.7,99.6,73.1,67.2
0-shot,cable_gland,73.6,92.4,90.2,98.2,30.1,33.6
0-shot,carrot,78.7,94.7,91.3,98.1,24.5,31.4
0-shot,cookie,72.7,92.0,88.0,96.3,42.9,44.2
0-shot,tire,78.9,93.7,87.4,97.9,29.7,36.7
0-shot,rope,76.8,90.2,81.5,96.9,27.2,29.8
0-shot,foam,81.2,95.0,89.9,89.9,23.7,32.4
0-shot,dowel,74.0,91.1,90.1,96.6,5.8,11.9
0-shot,peach,86.5,96.4,91.9,99.1,27.5,37.4
0-shot,potato,70.8,90.0,89.8,99.4,29.9,36.8
